tweet_id,favorites,retweets,user_followers,user_favourites,date_time
859607811541651456,19160,1661,6555939,132912,2017-05-03 03:17:27
859196978902773760,92947,31966,6555939,132912,2017-05-02 00:04:57
859074603037188101,34991,14384,6555940,132912,2017-05-01 15:58:40
858860390427611136,0,8591,6555940,132912,2017-05-01 01:47:28
858843525470990336,16053,3672,6555941,132912,2017-05-01 00:40:27
858471635011153920,22239,5123,6555941,132912,2017-04-30 00:02:42
858107933456039936,16257,3087,6555941,132912,2017-04-28 23:57:28
857989990357356544,16672,2738,6555941,132912,2017-04-28 16:08:49
857746408056729600,35444,11241,6555942,132912,2017-04-28 00:00:54
857393404942143489,6125,1730,6555942,132912,2017-04-27 00:38:11
857263160327368704,20690,4804,6555942,132912,2017-04-26 16:00:39
857214891891077121,238,20,6555942,132912,2017-04-26 12:48:51
857062103051644929,0,179,6555942,132912,2017-04-26 02:41:43
857029823797047296,19593,4258,6555942,132912,2017-04-26 00:33:27
856602993587888130,0,11340,6555942,132912,2017-04-24 20:17:23
856543823941562368,16879,3065,6555942,132912,2017-04-24 16:22:16
856526610513747968,12259,2007,6555942,132912,2017-04-24 15:13:52
856330835276025856,0,720,6555942,132912,2017-04-24 02:15:55
856288084350160898,534,17,6555942,132912,2017-04-23 23:26:03
856282028240666624,28665,6720,6555942,132912,2017-04-23 23:01:59
855862651834028034,363,28,6555942,132912,2017-04-22 19:15:32
855860136149123072,5108,1105,6555942,132912,2017-04-22 19:05:32
855857698524602368,12278,2255,6555942,132912,2017-04-22 18:55:51
855851453814013952,47138,18817,6555942,132912,2017-04-22 18:31:02
855818117272018944,27614,5809,6555942,132912,2017-04-22 16:18:34
855459453768019968,31145,8795,6555942,132912,2017-04-21 16:33:22
855245323840757760,0,6378,6555943,132912,2017-04-21 02:22:29
855138241867124737,0,49,6555944,132912,2017-04-20 19:16:59
854732716440526848,23778,6528,6555944,132912,2017-04-19 16:25:34
854482394044301312,30589,7388,6555944,132912,2017-04-18 23:50:52
854365224396361728,19702,5037,6555944,132912,2017-04-18 16:05:17
854120357044912130,33340,8062,6555945,132912,2017-04-17 23:52:16
854010172552949760,16885,3370,6555946,132912,2017-04-17 16:34:26
853760880890318849,29921,6242,6555947,132912,2017-04-17 00:03:50
853639147608842240,36539,10954,6555947,132912,2017-04-16 16:00:07
853299958564483072,16260,3839,6555947,132912,2017-04-15 17:32:18
852936405516943360,0,2182,6555948,132912,2017-04-14 17:27:40
852912242202992640,9482,1987,6555948,132912,2017-04-14 15:51:39
852672615818899456,15659,2320,6555948,132912,2017-04-13 23:59:28
852553447878664193,17194,3788,6555948,132912,2017-04-13 16:05:56
852311364735569921,34775,10705,6555949,132912,2017-04-13 00:03:59
852226086759018497,21006,7375,6555950,132912,2017-04-12 18:25:07
852189679701164033,12031,1707,6555950,132912,2017-04-12 16:00:27
851953902622658560,0,10427,6555949,132912,2017-04-12 00:23:33
851861385021730816,0,23,6555949,132912,2017-04-11 18:15:55
851591660324737024,17035,3742,6555950,132912,2017-04-11 00:24:08
851464819735769094,25540,7649,6555950,132912,2017-04-10 16:00:07
851224888060895234,21743,6196,6555950,132912,2017-04-10 00:06:42
850753642995093505,32755,10083,6555950,132912,2017-04-08 16:54:09
850380195714523136,13752,2829,6555950,132912,2017-04-07 16:10:12
850333567704068097,3597,362,6555950,132912,2017-04-07 13:04:55
850145622816686080,17226,4140,6555950,132912,2017-04-07 00:38:06
850019790995546112,21593,5319,6555950,132912,2017-04-06 16:18:05
849776966551130114,32156,8262,6555950,132912,2017-04-06 00:13:11
849668094696017920,0,5396,6555950,132912,2017-04-05 17:00:34
849412302885593088,16761,3406,6555950,132912,2017-04-05 00:04:08
849336543269576704,12073,2052,6555950,132912,2017-04-04 19:03:06
849051919805034497,44800,9285,6555950,132912,2017-04-04 00:12:06
848690551926992896,26668,4697,6555950,132912,2017-04-03 00:16:10
